"AwardCeremony","FilmID","FilmName","Year","Rated","Runtime","Genre","Director","Writer","Actors","Plot","Language","Country","Awards","Poster","Metascore","imdbRating","imdbVotes","imdbID","Type","totalSeasons","Season","Episode","seriesID","IMDb","Metacritic","RottenTomatoes","Rating","Rated.Date","Service","AFISilver","Theater","Watchlist","Nominations","Losses","Wins"
"85-2013","tt1217209","Brave",2012,"PG","93 min","Animation, Adventure, Comedy","Mark Andrews, Brenda Chapman, Steve Purcell","Brenda Chapman, Mark Andrews, Steve Purcell","Kelly Macdonald, Billy Connolly, Emma Thompson","Determined to make her own path in life, Princess Merida defies a custom that brings chaos to her kingdom. Granted one wish, Merida must rely on her bravery and her archery skills to undo a beastly curse.","English","United States, United Kingdom","Won 1 Oscar. 20 wins & 48 nominations total","https://m.media-amazon.com/images/M/MV5BMzgwODk3ODA1NF5BMl5BanBnXkFtZTcwNjU3NjQ0Nw@@._V1_SX300.jpg","69","7.1","394,649","tt1217209","movie",NA,NA,NA,NA,"7.1/10","69/100","78%",7,"2021-07-09",NA,NA,NA,NA,1,0,1
"85-2013","tt1276419","A Royal Affair",2012,"R","137 min","Biography, Drama, History","Nikolaj Arcel","Bodil Steensen-Leth, Rasmus Heisterberg, Nikolaj Arcel","Alicia Vikander, Mads Mikkelsen, Mikkel Boe Følsgaard","A young queen, who is married to an insane king, falls secretly in love with her physician - and together they start a revolution that changes a nation forever.","Danish, English, German, French","Denmark, Sweden, Czech Republic, Germany","Nominated for 1 Oscar. 21 wins & 42 nominations total","https://m.media-amazon.com/images/M/MV5BMTg3MDE4MTQ4NF5BMl5BanBnXkFtZTcwNDgwNDYyOA@@._V1_SX300.jpg","73","7.5","46,643","tt1276419","movie",NA,NA,NA,NA,"7.5/10","73/100","90%",NA,NA,NA,NA,NA,"Y",1,1,0
"85-2013","tt1430626","The Pirates! Band of Misfits",2012,"PG","88 min","Animation, Adventure, Comedy","Peter Lord, Jeff Newitt","Gideon Defoe","Hugh Grant, Salma Hayek, Jeremy Piven","Pirate Captain sets out on a mission to defeat his rivals Black Bellamy and Cutlass Liz for the Pirate of the year Award. The quest takes Captain and his crew from the shores of Blood Island to the foggy streets of Victorian London.","English","United Kingdom, United States","Nominated for 1 Oscar. 20 nominations total","https://m.media-amazon.com/images/M/MV5BNDhkOGZkZWMtNGI4Mi00ZWI3LTgyYTgtMDU4ZDI3NTNjMWFiXkEyXkFqcGdeQXVyNjk1Njg5NTA@._V1_SX300.jpg","73","6.7","47,154","tt1430626","movie",NA,NA,NA,NA,"6.7/10","73/100","86%",4,"2023-08-13",NA,NA,NA,NA,1,1,0
"85-2013","tt1446714","Prometheus",2012,"R","124 min","Adventure, Mystery, Sci-Fi","Ridley Scott","Jon Spaihts, Damon Lindelof, Dan O'Bannon","Noomi Rapace, Logan Marshall-Green, Michael Fassbender","Following clues to the origin of mankind, a team finds a structure on a distant moon, but they soon realize they are not alone.","English, Gaelic","United States, United Kingdom","Nominated for 1 Oscar. 6 wins & 47 nominations total","https://m.media-amazon.com/images/M/MV5BMTY3NzIyNTA2NV5BMl5BanBnXkFtZTcwNzE2NjI4Nw@@._V1_SX300.jpg","64","7.0","592,564","tt1446714","movie",NA,NA,NA,NA,"7.0/10","64/100","73%",8,"2021-07-11",NA,NA,NA,NA,1,1,0
"85-2013","tt1560747","The Master",2012,"R","138 min","Drama","Paul Thomas Anderson","Paul Thomas Anderson","Philip Seymour Hoffman, Joaquin Phoenix, Amy Adams","A Naval veteran arrives home from war unsettled and uncertain of his future - until he is tantalized by the Cause and its charismatic leader.","English, Filipino","United States","Nominated for 3 Oscars. 75 wins & 187 nominations total","https://m.media-amazon.com/images/M/MV5BMTQ2NjQ5MzMwMF5BMl5BanBnXkFtZTcwMjczNTAzOA@@._V1_SX300.jpg","86","7.2","167,251","tt1560747","movie",NA,NA,NA,NA,"7.2/10","86/100","84%",7,"2022-03-26",NA,NA,NA,NA,3,3,0
"85-2013","tt1579361","Chasing Ice",2012,"PG-13","75 min","Documentary, Biography","Jeff Orlowski","Mark Monroe","James Balog, Svavar Jónatansson, Louie Psihoyos","Follow National Geographic photographer James Balog across the Arctic as he deploys time-lapse cameras designed for one purpose: to capture a multi-year record of the world's changing glaciers.","English","United States","Nominated for 1 Oscar. 9 wins & 5 nominations total","https://m.media-amazon.com/images/M/MV5BMTM1NDc0MzAxNF5BMl5BanBnXkFtZTcwMjY1NzE3OA@@._V1_SX300.jpg","75","7.8","8,606","tt1579361","movie",NA,NA,NA,NA,"7.8/10","75/100","96%",NA,NA,NA,NA,NA,"Y",1,1,0
"85-2013","tt1602620","Amour",2012,"PG-13","127 min","Drama","Michael Haneke","Michael Haneke","Jean-Louis Trintignant, Emmanuelle Riva, Isabelle Huppert","Georges and Anne are an octogenarian couple. They are cultivated, retired music teachers. Their daughter, also a musician, lives in Britain with her family. One day, Anne has a stroke, and the couple's bond of love is severely tested","French, English","Austria, France, Germany","Won 1 Oscar. 84 wins & 108 nominations total","https://m.media-amazon.com/images/M/MV5BMTk1NTc3NDc4MF5BMl5BanBnXkFtZTcwNjYwNDk0OA@@._V1_SX300.jpg","94","7.9","97,899","tt1602620","movie",NA,NA,NA,NA,"7.9/10","94/100","93%",10,"2023-05-19",NA,NA,NA,NA,5,4,1
"85-2013","tt1613750","Kon-Tiki",2012,"PG-13","118 min","Adventure, Biography, Drama","Joachim Rønning, Espen Sandberg","Petter Skavlan","Pål Sverre Hagen, Anders Baasmo Christiansen, Gustaf Skarsgård","Legendary explorer Thor Heyerdahl's epic 4,300-mile crossing of the Pacific on a balsawood raft in 1947, in an effort to prove that it was possible for South Americans to settle in Polynesia in pre-Columbian times.","Norwegian, English, French, Swedish, Spanish","United Kingdom, Norway, Denmark, Germany, Sweden","Nominated for 1 Oscar. 12 wins & 14 nominations total","https://m.media-amazon.com/images/M/MV5BMjMxOTU2NzQxMF5BMl5BanBnXkFtZTcwODIwODY0OA@@._V1_SX300.jpg","62","7.2","48,194","tt1613750","movie",NA,NA,NA,NA,"7.2/10","62/100","81%",NA,NA,NA,NA,NA,"Y",1,1,0
"85-2013","tt1623288","ParaNorman",2012,"PG","92 min","Animation, Adventure, Comedy","Chris Butler, Sam Fell","Chris Butler","Kodi Smit-McPhee, Anna Kendrick, Christopher Mintz-Plasse","A misunderstood boy takes on ghosts, zombies and grown-ups to save his town from a centuries-old curse.","English","United States","Nominated for 1 Oscar. 19 wins & 46 nominations total","https://m.media-amazon.com/images/M/MV5BMjA1OTU1NDM3N15BMl5BanBnXkFtZTcwMjYxNTg0Nw@@._V1_SX300.jpg","72","7.0","99,804","tt1623288","movie",NA,NA,NA,NA,"7.0/10","72/100","89%",7,"2021-07-14",NA,NA,NA,NA,1,1,0
"85-2013","tt1637725","Ted",2012,"R","106 min","Comedy","Seth MacFarlane","Seth MacFarlane, Alec Sulkin, Wellesley Wild","Mark Wahlberg, Mila Kunis, Seth MacFarlane","John Bennett, a man whose childhood wish of bringing his teddy bear to life came true, now must decide between keeping the relationship with the bear, Ted or his girlfriend, Lori.","English, Japanese","United States","Nominated for 1 Oscar. 13 wins & 28 nominations total","https://m.media-amazon.com/images/M/MV5BMTQ1OTU0ODcxMV5BMl5BanBnXkFtZTcwOTMxNTUwOA@@._V1_SX300.jpg","62","6.9","594,317","tt1637725","movie",NA,NA,NA,NA,"6.9/10","62/100","69%",6,"2021-07-14",NA,NA,"Y",NA,1,1,0
"85-2013","tt1649419","The Impossible",2012,"PG-13","114 min","Adventure, Drama, History","J.A. Bayona","Sergio G. Sánchez, María Belón","Naomi Watts, Ewan McGregor, Tom Holland","The story of a tourist family in Thailand caught in the destruction and chaotic aftermath of the 2004 Indian Ocean tsunami.","English, Thai, German, Swedish","Spain, Thailand, United States","Nominated for 1 Oscar. 28 wins & 70 nominations total","https://m.media-amazon.com/images/M/MV5BMjA5NTA3NzQ5Nl5BMl5BanBnXkFtZTcwOTYxNjY0OA@@._V1_SX300.jpg","73","7.6","215,790","tt1649419","movie",NA,NA,NA,NA,"7.6/10","73/100","81%",NA,NA,NA,NA,NA,"Y",1,1,0
"85-2013","tt1667353","Mirror Mirror",2012,"PG","106 min","Adventure, Comedy, Drama","Tarsem Singh","Marc Klein, Jason Keller, Melisa Wallack","Lily Collins, Julia Roberts, Armie Hammer","An evil queen steals control of a kingdom and an exiled princess enlists the help of seven resourceful rebels to win back her birthright.","English","United States, Canada","Nominated for 1 Oscar. 2 wins & 9 nominations total","https://m.media-amazon.com/images/M/MV5BMTExMjU4MTUwNTVeQTJeQWpwZ15BbWU3MDk2MzkwMjc@._V1_SX300.jpg","46","5.6","86,832","tt1667353","movie",NA,NA,NA,NA,"5.6/10","46/100","50%",3,"2023-08-15",NA,NA,NA,NA,1,1,0
"85-2013","tt1707386","Les MisÃ©rables",2012,"PG-13","158 min","Drama, Musical, Romance","Tom Hooper","William Nicholson, Alain Boublil, Claude-Michel Schönberg","Hugh Jackman, Russell Crowe, Anne Hathaway","In 19th-century France, Jean Valjean, who for decades has been hunted by the ruthless policeman Javert after breaking parole, agrees to care for a factory worker's daughter. The decision changes their lives forever.","English","United Kingdom, United States","Won 3 Oscars. 85 wins & 177 nominations total","https://m.media-amazon.com/images/M/MV5BMTQ4NDI3NDg4M15BMl5BanBnXkFtZTcwMjY5OTI1OA@@._V1_SX300.jpg","63","7.6","322,090","tt1707386","movie",NA,NA,NA,NA,"7.6/10","63/100","70%",6,"2021-07-09",NA,NA,NA,NA,8,5,3
"85-2013","tt1735898","Snow White and the Huntsman",2012,"PG-13","127 min","Action, Adventure, Drama","Rupert Sanders","Evan Daugherty, John Lee Hancock, Hossein Amini","Kristen Stewart, Chris Hemsworth, Charlize Theron","In a twist to the fairy tale, the Huntsman ordered to take Snow White into the woods to be killed winds up becoming her protector and mentor in a quest to vanquish the Evil Queen.","English","United States, United Kingdom","Nominated for 2 Oscars. 13 wins & 33 nominations total","https://m.media-amazon.com/images/M/MV5BOGQ5MWNjZGQtOWM2ZC00MjEyLWEwODAtN2JmN2U0OWQ0YzI3XkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg","57","6.1","283,442","tt1735898","movie",NA,NA,NA,NA,"6.1/10","57/100","49%",NA,NA,NA,NA,NA,"Y",2,2,0
"85-2013","tt1748122","Moonrise Kingdom",2012,"PG-13","94 min","Comedy, Drama, Romance","Wes Anderson","Wes Anderson, Roman Coppola","Jared Gilman, Kara Hayward, Bruce Willis","A pair of young lovers flee their New England town, which causes a local search party to fan out to find them.","English","United States","Nominated for 1 Oscar. 36 wins & 122 nominations total","https://m.media-amazon.com/images/M/MV5BMzllMWI1ZDQtMmFhNS00NzJkLThmMTMtNzFmMmMyYjU3ZGVjXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg","84","7.8","337,895","tt1748122","movie",NA,NA,NA,NA,"7.8/10","84/100","93%",6,"2021-07-11",NA,NA,NA,NA,1,1,0
"85-2013","tt1772341","Wreck-It Ralph",2012,"PG","101 min","Animation, Adventure, Comedy","Rich Moore","Rich Moore, Phil Johnston, Jim Reardon","John C. Reilly, Jack McBrayer, Jane Lynch","A video game villain wants to be a hero and sets out to fulfill his dream, but his quest brings havoc to the whole arcade where he lives.","English","United States","Nominated for 1 Oscar. 33 wins & 42 nominations total","https://m.media-amazon.com/images/M/MV5BNzMxNTExOTkyMF5BMl5BanBnXkFtZTcwMzEyNDc0OA@@._V1_SX300.jpg","72","7.7","404,538","tt1772341","movie",NA,NA,NA,NA,"7.7/10","72/100","87%",7,"2021-07-11",NA,NA,NA,NA,1,1,0
"85-2013","tt1781769","Anna Karenina",2012,"R","129 min","Drama, Romance","Joe Wright","Tom Stoppard, Lev Tolstoy","Keira Knightley, Jude Law, Aaron Taylor-Johnson","In late-19th-century Russian high society, St. Petersburg aristocrat Anna Karenina enters into a life-changing affair with the dashing Count Alexei Vronsky.","English","United Kingdom","Won 1 Oscar. 33 wins & 53 nominations total","https://m.media-amazon.com/images/M/MV5BMTU0NDgxNDg0NV5BMl5BanBnXkFtZTcwMjE4MzkwOA@@._V1_SX300.jpg","63","6.6","97,485","tt1781769","movie",NA,NA,NA,NA,"6.6/10","63/100","63%",NA,NA,NA,NA,NA,"Y",4,3,1
"85-2013","tt1790885","Zero Dark Thirty",2012,"R","157 min","Drama, History, Thriller","Kathryn Bigelow","Mark Boal","Jessica Chastain, Joel Edgerton, Chris Pratt","A chronicle of the decade-long hunt for al-Qaeda terrorist leader Osama bin Laden after the September 2001 attacks, and his death at the hands of the Navy S.E.A.L.s Team 6 in May 2011.","English, Arabic, Urdu, Pashtu, French","United States","Won 1 Oscar. 85 wins & 174 nominations total","https://m.media-amazon.com/images/M/MV5BMTQ4OTUyNzcwN15BMl5BanBnXkFtZTcwMTQ1NDE3OA@@._V1_SX300.jpg","95","7.4","289,825","tt1790885","movie",NA,NA,NA,NA,"7.4/10","95/100","91%",7,"2021-07-09",NA,NA,NA,NA,5,4,1
"85-2013","tt1820488","War Witch",2012,"Not Rated","90 min","Drama, War","Kim Nguyen","Kim Nguyen, Simon Trépanier, Alexandre Mangona","Rachel Mwanza, Alain Lino Mic Eli Bastien, Serge Kanyinda","Somewhere in Sub-Saharan Africa, Komona, a 14-year-old girl, tells her unborn child growing inside her the story of her life since she has been at war. Everything started when she was abducted by the rebel army at the age of 12.","French, Lingala","Canada","Nominated for 1 Oscar. 34 wins & 14 nominations total","https://m.media-amazon.com/images/M/MV5BMjMyMzE5MzAzMV5BMl5BanBnXkFtZTcwOTc5MjMwOQ@@._V1_SX300.jpg","84","7.1","7,267","tt1820488","movie",NA,NA,NA,NA,"7.1/10","84/100","94%",NA,NA,NA,NA,NA,"Y",1,1,0
"85-2013","tt1853728","Django Unchained",2012,"R","165 min","Drama, Western","Quentin Tarantino","Quentin Tarantino","Jamie Foxx, Christoph Waltz, Leonardo DiCaprio","With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation-owner in Mississippi.","English, German, French, Italian","United States","Won 2 Oscars. 58 wins & 158 nominations total","https://m.media-amazon.com/images/M/MV5BMjIyNTQ5NjQ1OV5BMl5BanBnXkFtZTcwODg1MDU4OA@@._V1_SX300.jpg","81","8.4","1,462,651","tt1853728","movie",NA,NA,NA,NA,"8.4/10","81/100","86%",6,"2021-07-09",NA,NA,NA,NA,5,3,2
"85-2013","tt1866249","The Sessions",2012,"R","95 min","Biography, Comedy, Drama","Ben Lewin","Ben Lewin, Mark O'Brien","John Hawkes, Helen Hunt, William H. Macy","A man in an iron lung who wishes to lose his virginity contacts a professional sex surrogate with the help of his therapist and priest.","English","United States","Nominated for 1 Oscar. 18 wins & 64 nominations total","https://m.media-amazon.com/images/M/MV5BNzA5OTUxNDEwNF5BMl5BanBnXkFtZTcwMjczMjEzOA@@._V1_SX300.jpg","79","7.2","42,353","tt1866249","movie",NA,NA,NA,NA,"7.2/10","79/100","91%",7,"2022-05-30",NA,NA,NA,NA,1,1,0
"85-2013","tt1907668","Flight",2012,"R","138 min","Drama, Thriller","Robert Zemeckis","John Gatins","Denzel Washington, Nadine Velazquez, Don Cheadle","An airline pilot saves almost all his passengers on his malfunctioning airliner which eventually crashed, but an investigation into the accident reveals something troubling.","English","United States, United Arab Emirates","Nominated for 2 Oscars. 15 wins & 45 nominations total","https://m.media-amazon.com/images/M/MV5BMTUxMjI1OTMxNl5BMl5BanBnXkFtZTcwNjc3NTY1OA@@._V1_SX300.jpg","76","7.3","343,394","tt1907668","movie",NA,NA,NA,NA,"7.3/10","76/100","77%",6,"2022-05-23",NA,NA,NA,NA,2,2,0
"85-2013","tt2004244","Henry",2011,"TV-PG","21 min","Short, Drama","Yan England","Yan England","Gérard Poirier, Marie Tifo, Hubert Lemire","Henry, a great concert pianist, has his life thrown in turmoil the day the love of this life, Maria, disappears mysteriously. He'll then discover the inevitable verdict of life.","French","Canada","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BMTQ3MTI3Mzk0NF5BMl5BanBnXkFtZTgwNTU2NzAxMzE@._V1_SX300.jpg","N/A","7.4","680","tt2004244","movie",NA,NA,NA,NA,"7.4/10",NA,NA,NA,NA,NA,NA,NA,"Y",1,1,0
"85-2013","tt2059255","No",2012,"R","118 min","Drama","Pablo Larraín","Pedro Peirano, Antonio Skármeta","Gael García Bernal, Alfredo Castro, Antonia Zegers","An advertising executive comes up with a campaign to defeat Augusto Pinochet in Chile's 1988 referendum.","Spanish","Chile, France, Mexico, United States","Nominated for 1 Oscar. 13 wins & 21 nominations total","https://m.media-amazon.com/images/M/MV5BMTM3ODAzNjcwMV5BMl5BanBnXkFtZTcwMTUzMjc4OA@@._V1_SX300.jpg","81","7.4","24,645","tt2059255","movie",NA,NA,NA,NA,"7.4/10","81/100","93%",NA,NA,NA,NA,NA,"Y",1,1,0
"85-2013","tt2083264","Mondays at Racine",2012,"Not Rated","39 min","Documentary, Short, Family","Cynthia Wade","N/A","Rachel Delmolfetto, Linda Hart, Cambria Russell","Every third Monday of the month, two bold, brassy sisters open the doors of their Long Island hair salon to women diagnosed with cancer. As locks of hair fall to the floor, women gossip, giggle, weep, face their fears, and discover u","English","United States","Nominated for 1 Oscar. 5 wins & 2 nominations total","https://m.media-amazon.com/images/M/MV5BNzM4NTc3NDMxM15BMl5BanBnXkFtZTcwNjkxMDcwOQ@@._V1_SX300.jpg","N/A","7.4","253","tt2083264","movie",NA,NA,NA,NA,"7.4/10",NA,NA,NA,NA,NA,NA,NA,"Y",1,1,0
"85-2013","tt2088735","Curfew",2012,"PG-13","19 min","Short, Drama","Shawn Christensen","Shawn Christensen","Shawn Christensen, Fatima Ptacek, Kim Allen","Having reached the lowest point in his life, a self-destructive man on the brink of demise receives an unexpected call from his estranged sister to look after her young daughter for the night. Could this be the beginning of a new rea","English","United States","Won 1 Oscar. 21 wins & 3 nominations total","https://m.media-amazon.com/images/M/MV5BZTg5NWI3YjMtOGM3Mi00ZWFkLWE1YmQtOWUzYjFhZGQwYjVhXkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_SX300.jpg","N/A","7.9","6,573","tt2088735","movie",NA,NA,NA,NA,"7.9/10",NA,NA,NA,NA,NA,NA,NA,"Y",1,0,1
"85-2013","tt2109153","Kings Point",2012,"Not Rated","40 min","Documentary, Short, Comedy","Sari Gilman","N/A","N/A","A documentary on five seniors living in a retirement resort in Florida - men and women who came decades ago with their spouses by their sides, and now find themselves grappling with love, loss and the universal desire for human conne","English","United States","Nominated for 1 Oscar. 2 nominations total","https://m.media-amazon.com/images/M/MV5BMTQ3NDA2NTcwM15BMl5BanBnXkFtZTcwOTI3MDY5OA@@._V1_SX300.jpg","N/A","6.7","227","tt2109153","movie",NA,NA,NA,NA,"6.7/10",NA,NA,NA,NA,NA,NA,NA,"Y",1,1,0
"85-2013","tt2120152","The Invisible War",2012,"Not Rated","93 min","Documentary, Crime","Kirby Dick","Kirby Dick, Amy Ziering, Douglas Blush","Amy Ziering, Kirby Dick, Kori Cioca","An investigative documentary about the epidemic of rape of soldiers within the US military.","English","United States, France","Nominated for 1 Oscar. 11 wins & 14 nominations total","https://m.media-amazon.com/images/M/MV5BMTkyNjUzOTg4MV5BMl5BanBnXkFtZTcwOTIyMzc4Nw@@._V1_SX300.jpg","75","7.6","6,860","tt2120152","movie",NA,NA,NA,NA,"7.6/10","75/100","99%",NA,NA,NA,NA,NA,"Y",1,1,0
"85-2013","tt2123210","Inocente",2012,"N/A","40 min","Documentary, Short, Biography","Sean Fine, Andrea Nix","N/A","N/A","A personal and vibrant coming of age story about a young artist's determination never to surrender to the bleakness of her surroundings. At 15, Inocente refuses to let her dream of becoming an artist be caged by being an undocumented","English, Spanish","United States","Won 1 Oscar. 4 wins & 2 nominations total","https://m.media-amazon.com/images/M/MV5BMTM1MzkyMjExMF5BMl5BanBnXkFtZTcwODc1NzEzOA@@._V1_SX300.jpg","N/A","7.3","357","tt2123210","movie",NA,NA,NA,NA,"7.3/10",NA,NA,NA,NA,NA,NA,NA,"Y",1,0,1
"85-2013","tt2124803","How to Survive a Plague",2012,"Not Rated","110 min","Documentary, History, News","David France","David France, Woody Richman, Tyler H. Walk","Peter Staley, Larry Kramer, Iris Long","The story of two coalitions -- ACT UP and TAG (Treatment Action Group) -- whose activism and innovation turned AIDS from a death sentence into a manageable condition.","English","United States","Nominated for 1 Oscar. 13 wins & 21 nominations total","https://m.media-amazon.com/images/M/MV5BMTg2NTEyNTE3NF5BMl5BanBnXkFtZTcwNjY3NzM0OA@@._V1_SX300.jpg","86","7.6","4,035","tt2124803","movie",NA,NA,NA,NA,"7.6/10","86/100","98%",NA,NA,NA,NA,NA,"Y",1,1,0
"85-2013","tt2125423","5 Broken Cameras",2011,"Not Rated","94 min","Documentary, War","Emad Burnat, Guy Davidi","Guy Davidi","Emad Burnat, Soraya Burnat, Mohammed Burnat","A documentary on a Palestinian farmer's chronicle of his nonviolent resistance to the actions of the Israeli army.","Hebrew, Arabic","Occupied Palestinian Territory, Israel, France, Netherlands","Nominated for 1 Oscar. 18 wins & 10 nominations total","https://m.media-amazon.com/images/M/MV5BMTQ1OTgzNjM1OV5BMl5BanBnXkFtZTcwMzE3Mjk4OA@@._V1_SX300.jpg","78","7.9","5,949","tt2125423","movie",NA,NA,NA,NA,"7.9/10","78/100","96%",NA,NA,NA,NA,NA,"Y",1,1,0
"85-2013","tt2125435","Beasts of the Southern Wild",2012,"PG-13","93 min","Adventure, Drama, Fantasy","Benh Zeitlin","Lucy Alibar, Benh Zeitlin","Quvenzhané Wallis, Dwight Henry, Levy Easterly","Faced with both her hot-tempered father's fading health and melting ice-caps that flood her ramshackle bayou community and unleash ancient aurochs, six-year-old Hushpuppy must learn the ways of courage and love.","English","United States","Nominated for 4 Oscars. 90 wins & 135 nominations total","https://m.media-amazon.com/images/M/MV5BMTgxNDM5MDM1Ml5BMl5BanBnXkFtZTcwOTYwNzQ3Nw@@._V1_SX300.jpg","86","7.3","82,611","tt2125435","movie",NA,NA,NA,NA,"7.3/10","86/100","86%",8,"2021-07-09",NA,NA,NA,NA,4,4,0
"85-2013","tt2125608","Searching for Sugar Man",2012,"PG-13","86 min","Documentary, Biography, Music","Malik Bendjelloul","Malik Bendjelloul, Stephen 'Sugar' Segerman, Craig Bartholomew Strydom","Rodriguez, Stephen 'Sugar' Segerman, Dennis Coffey","Two South Africans set out to discover what happened to their unlikely musical hero, the mysterious 1970s rock n roller, Rodriguez.","English","Sweden, United Kingdom, Finland","Won 1 Oscar. 44 wins & 33 nominations total","https://m.media-amazon.com/images/M/MV5BMWYyMzgxNDQtMDI2Mi00NmMzLWI5MTAtMmUwNDg3Yjg3N2U3XkEyXkFqcGdeQXVyNzI1NzMxNzM@._V1_SX300.jpg","79","8.2","67,061","tt2125608","movie",NA,NA,NA,NA,"8.2/10","79/100","95%",7,"2023-06-20",NA,NA,NA,NA,1,0,1
"85-2013","tt2133304","Buzkashi Boys",2012,"N/A","28 min","Short, Drama","Sam French","Sam French, Martin Desmond Roe","Fawad Mohammadi, Jawanmard Paiz, Wali Talash","Set against the dramatic landscape of contemporary Afghanistan and the National sport of Buzkashi - a brutal game of horse polo played with a dead goat - Buzkashi Boys tells the coming of age story of two best friends, a charismatic","Dari","Afghanistan, United States","Nominated for 1 Oscar. 3 wins & 1 nomination total","https://m.media-amazon.com/images/M/MV5BMjE4MjE5OTQ0Ml5BMl5BanBnXkFtZTcwNjc4Mjc5OA@@._V1_SX300.jpg","N/A","6.6","728","tt2133304","movie",NA,NA,NA,NA,"6.6/10",NA,NA,6,"2022-12-31",NA,NA,NA,NA,1,1,0
"85-2013","tt2136747","Asad",2012,"R","18 min","Short, Adventure, Drama","Bryan Buckley","Bryan Buckley","Harun Mohammed, Ibrahim Moallim Hussein, Ali Mohammed","A coming of age fable of a Somali boy as he struggles to survive in his war-torn land.","Somali","South Africa, United States","Nominated for 1 Oscar. 7 wins & 1 nomination total","https://m.media-amazon.com/images/M/MV5BMTM3ODgxMzI1MV5BMl5BanBnXkFtZTcwMzY3MDU3Nw@@._V1_SX300.jpg","N/A","7.0","811","tt2136747","movie",NA,NA,NA,NA,"7.0/10",NA,NA,NA,NA,NA,NA,NA,"Y",1,1,0
"85-2013","tt2162565","Adam and Dog",2012,"TV-PG","16 min","Animation, Short, Drama","Minkyu Lee","Minkyu Lee","N/A","Adam, and a dog, in the Garden of Eden.","None","United States","Nominated for 1 Oscar. 1 win & 1 nomination total","https://m.media-amazon.com/images/M/MV5BMzc1NzcyNzY4Nl5BMl5BanBnXkFtZTcwNTEwMDIwOQ@@._V1_SX300.jpg","N/A","6.8","2,244","tt2162565","movie",NA,NA,NA,NA,"6.8/10",NA,NA,NA,NA,NA,NA,NA,"Y",1,1,0
"85-2013","tt2175842","The Longest Daycare",2012,"PG","5 min","Animation, Short, Comedy","David Silverman","James L. Brooks, Matt Groening, Al Jean","N/A","Maggie Simpson spends the day in the Ayn Rand School for Tots.","English","United States","Nominated for 1 Oscar. 2 nominations total","https://m.media-amazon.com/images/M/MV5BNmI4NzAwYTEtNGU3My00ZDk1LWE4NTktMGE0MDA2NmU0MmRiXkEyXkFqcGdeQXVyMjUxMTY3ODM@._V1_SX300.jpg","N/A","7.3","5,534","tt2175842","movie",NA,NA,NA,NA,"7.3/10",NA,NA,NA,NA,NA,NA,NA,"Y",1,1,0
"85-2013","tt2201886","Redemption",2013,"Not Rated","35 min","Documentary, Short, Biography","Jon Alpert, Matthew O'Neill","N/A","N/A","Redemption is a documentary about New York City's canners - the men and women who survive by redeeming bottles and cans they collect from curbs, garbage cans and apartment complexes. You've seen them combing through the trash, but ne","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BOTU1NDMwODc1N15BMl5BanBnXkFtZTcwMDEyMDcwOQ@@._V1_SX300.jpg","N/A","6.8","298","tt2201886","movie",NA,NA,NA,NA,"6.8/10",NA,"49%",NA,NA,NA,NA,NA,"Y",1,1,0
"85-2013","tt2309788","The Gatekeepers",2012,"PG-13","101 min","Documentary, History, War","Dror Moreh","N/A","Ami Ayalon, Avraham Shalom, Avi Dichter","A documentary featuring interviews with all surviving former heads of Shin Bet, the Israeli security agency whose activities and membership are closely held state secrets.","Hebrew, English","Israel, France","Nominated for 1 Oscar. 7 wins & 12 nominations total","https://m.media-amazon.com/images/M/MV5BMTYyMDg3NjYyMl5BMl5BanBnXkFtZTcwOTcyNDY4OA@@._V1_SX300.jpg","91","7.6","5,614","tt2309788","movie",NA,NA,NA,NA,"7.6/10","91/100","94%",NA,NA,NA,NA,NA,"Y",1,1,0
"85-2013","tt2309977","Fresh Guacamole",2012,"Unrated","2 min","Animation, Short","PES","PES","N/A","Transforming familiar objects into fresh guacamole.","English","United States","Nominated for 1 Oscar. 2 nominations total","https://m.media-amazon.com/images/M/MV5BOGVjMGM4MWMtM2I2NC00ZDM1LWEwZmMtZDljYjA2N2MwZjU5XkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_SX300.jpg","N/A","7.4","3,984","tt2309977","movie",NA,NA,NA,NA,"7.4/10",NA,NA,6,"2022-12-31",NA,NA,NA,NA,1,1,0
